!Mobile!Price!Store
0!<a href='https://www.mega.pk/mobiles_products/25053/Sparx-S7-2GB-RAM-32GB-Storage-PTA-Approved.html'> Sparx S7 (2GB RAM 32GB Storage)</a>!15499.0 (PKR) / 55 (USD)!mega.pk
1!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-6'>Sparx Neo 6 (--GB ---GB)</a>!15499.0 (PKR) / 55 (USD)!priceoye.pk
2!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-5-pro'>Sparx Neo 5 Pro (--GB ---GB)</a>!17249.0 (PKR) / 62 (USD)!priceoye.pk
3!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-6-plus'>Sparx Neo 6 Plus (--GB ---GB)</a>!17549.0 (PKR) / 63 (USD)!priceoye.pk
4!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-5-plus'>Sparx Neo 5 Plus (--GB ---GB)</a>!18199.0 (PKR) / 65 (USD)!priceoye.pk
5!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-7-plus'>Sparx Neo 7 Plus (--GB ---GB)</a>!19999.0 (PKR) / 71 (USD)!priceoye.pk
6!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-7-pro'>Sparx Neo 7 Pro (--GB ---GB)</a>!20999.0 (PKR) / 75 (USD)!priceoye.pk
7!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-8-plus'>Sparx Neo 8 Plus (--GB ---GB)</a>!21299.0 (PKR) / 76 (USD)!priceoye.pk
8!<a href='https://www.shophive.com/sparx-neo-5-2gb-32gb/'> Sparx Neo 5 (2GB 32GB)</a>!21499.0 (PKR) / 77 (USD)!shophive.pk
9!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-8-pro'>Sparx Neo 8 Pro (--GB ---GB)</a>!21849.0 (PKR) / 78 (USD)!priceoye.pk
10!<a href='https://www.mega.pk/mobiles_products/24452/Sparx-Neo-5-2GB-RAM-32G-Storage-PTA-Approved.html'> Sparx Neo 5 (2GB RAM 32G Storage)</a>!22499.0 (PKR) / 80 (USD)!mega.pk
11!<a href='https://www.shophive.com/sparx-neo-7-plus-4gb-64gb/'> Sparx Neo 7 Plus (4GB 64GB)</a>!22999.0 (PKR) / 82 (USD)!shophive.pk
12!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-11'>Sparx Neo 11 (--GB ---GB)</a>!23549.0 (PKR) / 84 (USD)!priceoye.pk
13!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-x'>Sparx Neo X (--GB ---GB)</a>!23699.0 (PKR) / 85 (USD)!priceoye.pk
14!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-7-ultra'>Sparx Neo 7 Ultra (--GB ---GB)</a>!23999.0 (PKR) / 86 (USD)!priceoye.pk
