Mobile!Storage/RAM!PKR!USD
<button id='iPhone14Plus' type='button' value='iPhone14Plus' onclick='iPhone14Plus()'>iPhone 14 Plus</button>!4/128 GB4/256 GB4/512 GB!420999!$. 1441
<button id='iPhone14ProMax' type='button' value='iPhone14ProMax' onclick='iPhone14ProMax()'>iPhone 14 Pro Max</button>!6/128 GB6/256 GB6/512 GB6/1024 GB!564999!$. 1934
<button id='iPhone14Pro' type='button' value='iPhone14Pro' onclick='iPhone14Pro()'>iPhone 14 Pro</button>!6/128 GB6/256 GB6/512 GB6/1024 GB!520999!$. 1784
<button id='iPhone14' type='button' value='iPhone14' onclick='iPhone14()'>iPhone 14</button>!4/128 GB4/256 GB4/512 GB!385999!$. 1321
<button id='iPhone13' type='button' value='iPhone13' onclick='iPhone13()'>iPhone 13</button>!4/128 GB4/256 GB4/512 GB!229800!$. 786
<button id='iPhone13ProMax' type='button' value='iPhone13ProMax' onclick='iPhone13ProMax()'>iPhone 13 Pro Max</button>!6/128 GB6/256 GB6/512 GB6/1024 GB!318700!$. 1091
<button id='iPhone13mini' type='button' value='iPhone13mini' onclick='iPhone13mini()'>iPhone 13 mini</button>!4/128 GB4/256 GB4/512 GB!205100!$. 702
<button id='iPhone13Pro' type='button' value='iPhone13Pro' onclick='iPhone13Pro()'>iPhone 13 Pro</button>!6/128 GB6/256 GB6/512 GB6/1024 GB!294000!$. 1006
<button id='iPhone12Mini' type='button' value='iPhone12Mini' onclick='iPhone12Mini()'>iPhone 12 Mini</button>!4/64 GB4/128 GB4/256 GB!173500!$. 594
<button id='iPhone12' type='button' value='iPhone12' onclick='iPhone12()'>iPhone 12</button>!4/64 GB4/128 GB4/256 GB!192000!$. 657
<button id='iPhone12Pro' type='button' value='iPhone12Pro' onclick='iPhone12Pro()'>iPhone 12 Pro</button>!6/128 GB6/256 GB6/512 GB!229900!$. 787
<button id='iPhone12ProMax' type='button' value='iPhone12ProMax' onclick='iPhone12ProMax()'>iPhone 12 Pro Max</button>!6/128 GB6/256 GB6/512 GB!184999!$. 633
<button id='iPhone11ProMax' type='button' value='iPhone11ProMax' onclick='iPhone11ProMax()'>iPhone 11 Pro Max</button>!4/64 GB4/256 GB4/512 GB!229999!$. 787
<button id='iPhone11Pro' type='button' value='iPhone11Pro' onclick='iPhone11Pro()'>iPhone 11 Pro</button>!4/64 GB4/256 GB!214999!$. 736
<button id='iPhone11' type='button' value='iPhone11' onclick='iPhone11()'>iPhone 11</button>!4/64 GB4/128 GB!159999!$. 547
<button id='iPhoneXR' type='button' value='iPhoneXR' onclick='iPhoneXR()'>iPhone XR</button>!3/64 GB3/128 GB!129999!$. 445
<button id='iPhoneXS' type='button' value='iPhoneXS' onclick='iPhoneXS()'>iPhone XS</button>!4/64 GB4/256 GB4/512 GB!144999!$. 496
<button id='iPhoneXSMax' type='button' value='iPhoneXSMax' onclick='iPhoneXSMax()'>iPhone XS Max</button>!4/64 GB4/256 GB4/512 GB!169999!$. 582
<button id='iPhone8' type='button' value='iPhone8' onclick='iPhone8()'>iPhone 8</button>!2/64 GB2/128 GB2/256 GB!36999!$. 126
<button id='HonorX5' type='button' value='HonorX5' onclick='HonorX5()'>Honor X5</button>!2/32 GB!31999!$. 109
<button id='HonorX6' type='button' value='HonorX6' onclick='HonorX6()'>Honor X6</button>!4/64 GB4/128 GB!40999!$. 140
