!Mobile!Price!Store
0!<a href='https://priceoye.pk/mobiles/honor/honor-x5'>Honor X5 (--GB ---GB)</a>!15499.0 (PKR) / 55 (USD)!priceoye.pk
1!<a href='https://priceoye.pk/mobiles/honor/honor-x6'>Honor X6 (--GB ---GB)</a>!22299.0 (PKR) / 80 (USD)!priceoye.pk
2!<a href='https://priceoye.pk/mobiles/honor/honor-x5-plus'>Honor X5 Plus (--GB ---GB)</a>!23799.0 (PKR) / 85 (USD)!priceoye.pk
3!<a href='https://priceoye.pk/mobiles/honor/honor-x6a'>Honor X6a (--GB ---GB)</a>!26499.0 (PKR) / 95 (USD)!priceoye.pk
4!<a href='https://priceoye.pk/mobiles/honor/honor-x7b'>Honor X7b (--GB ---GB)</a>!57599.0 (PKR) / 207 (USD)!priceoye.pk
5!<a href='https://priceoye.pk/mobiles/honor/honor-x8b'>Honor X8b (--GB ---GB)</a>!76799.0 (PKR) / 276 (USD)!priceoye.pk
6!<a href='https://priceoye.pk/mobiles/honor/honor-90-lite'>Honor 90 Lite (--GB ---GB)</a>!85799.0 (PKR) / 308 (USD)!priceoye.pk
7!<a href='https://priceoye.pk/mobiles/honor/honor-90'>Honor 90 (--GB ---GB)</a>!151899.0 (PKR) / 546 (USD)!priceoye.pk
