Mobile!Storage/RAM!PKR!USD
<button id='Realme9ProPlus' type='button' value='Realme 9 Pro Plus' onclick='Realme9ProPlus()'>Realme 9 Pro Plus</button>!8/128 GB!96999!$. 332
<button id='XiaomiPad6' type='button' value='Xiaomi Pad 6' onclick='XiaomiPad6()'>Xiaomi Pad 6</button>!8/256 GB!99999!$. 342
<button id='VivoV27e' type='button' value='Vivo V27e' onclick='VivoV27e()'>Vivo V27e</button>!8/256 GB!99999!$. 342
<button id='VivoV23' type='button' value='Vivo V23' onclick='VivoV23()'>Vivo V23</button>!12/256 GB!99999!$. 342
<button id='OppoF21Pro5G' type='button' value='Oppo F21 Pro 5G' onclick='OppoF21Pro5G()'>Oppo F21 Pro 5G</button>!8/128 GB!102499!$. 351
<button id='VivoV25e' type='button' value='Vivo V25e' onclick='VivoV25e()'>Vivo V25e</button>!8/128 GB!109999!$. 376
<button id='PocoX5Pro' type='button' value='Poco X5 Pro' onclick='PocoX5Pro()'>Poco X5 Pro</button>!8/256 GB!109999!$. 376
<button id='SamsungA335G' type='button' value='Samsung A33 5G' onclick='SamsungA335G()'>Samsung A33 5G</button>!8/128 GB!112499!$. 385
<button id='SamsungA34' type='button' value='Samsung A34' onclick='SamsungA34()'>Samsung A34</button>!8/256 GB!114999!$. 393
<button id='OppoReno6Pro' type='button' value='Oppo Reno 6 Pro' onclick='OppoReno6Pro()'>Oppo Reno 6 Pro</button>!12/256 GB!119999!$. 410
<button id='TecnoCamon20Premier' type='button' value='Tecno Camon 20 Premier' onclick='TecnoCamon20Premier()'>Tecno Camon 20 Premier</button>!8/512 GB!124999!$. 428
<button id='iPhoneXR' type='button' value='iPhone XR' onclick='iPhoneXR()'>iPhone XR</button>!3/64 GB3/128 GB!129999!$. 445
<button id='SamsungA535G' type='button' value='Samsung A53 5G' onclick='SamsungA535G()'>Samsung A53 5G</button>!8/128 GB!133999!$. 458
<button id='SamsungA54' type='button' value='Samsung A54' onclick='SamsungA54()'>Samsung A54</button>!8/256 GB!140999!$. 482
<button id='iPhoneXS' type='button' value='iPhone XS' onclick='iPhoneXS()'>iPhone XS</button>!4/64 GB4/256 GB4/512 GB!144999!$. 496
<button id='VivoV25' type='button' value='Vivo V25' onclick='VivoV25()'>Vivo V25</button>!12/256 GB!149999!$. 513
<button id='iPhone11' type='button' value='iPhone 11' onclick='iPhone11()'>iPhone 11</button>!4/64 GB4/128 GB!159999!$. 547
<button id='iPhoneXSMax' type='button' value='iPhone XS Max' onclick='iPhoneXSMax()'>iPhone XS Max</button>!4/64 GB4/256 GB4/512 GB!169999!$. 582
<button id='VivoX80' type='button' value='Vivo X80' onclick='VivoX80()'>Vivo X80</button>!12/256 GB!169999!$. 582
<button id='Xiaomi13T' type='button' value='Xiaomi 13T' onclick='Xiaomi13T()'>Xiaomi 13T</button>!12/256 GB!169999!$. 582
