Mobile!Storage/RAM!PKR!USD
<button id='SamsungA735G' type='button' value='Samsung A73 5G' onclick='SamsungA735G()'>Samsung A73 5G</button>!8/256 GB!170499!$. 583
<button id='iPhone12Mini' type='button' value='iPhone 12 Mini' onclick='iPhone12Mini()'>iPhone 12 Mini</button>!4/64 GB4/128 GB4/256 GB!173500!$. 594
<button id='Xiaomi12' type='button' value='Xiaomi 12' onclick='Xiaomi12()'>Xiaomi 12</button>!12/256 GB!179999!$. 616
<button id='iPhone12ProMax' type='button' value='iPhone 12 Pro Max' onclick='iPhone12ProMax()'>iPhone 12 Pro Max</button>!6/128 GB6/256 GB6/512 GB!184999!$. 633
<button id='iPhone12' type='button' value='iPhone 12' onclick='iPhone12()'>iPhone 12</button>!4/64 GB4/128 GB4/256 GB!192000!$. 657
<button id='iPhone13mini' type='button' value='iPhone 13 mini' onclick='iPhone13mini()'>iPhone 13 mini</button>!4/128 GB4/256 GB4/512 GB!205100!$. 702
<button id='Xiaomi12Pro' type='button' value='Xiaomi 12 Pro' onclick='Xiaomi12Pro()'>Xiaomi 12 Pro</button>!12/256 GB!208999!$. 715
<button id='iPhone11Pro' type='button' value='iPhone 11 Pro' onclick='iPhone11Pro()'>iPhone 11 Pro</button>!4/64 GB4/256 GB!214999!$. 736
<button id='iPhone13' type='button' value='iPhone 13' onclick='iPhone13()'>iPhone 13</button>!4/128 GB4/256 GB4/512 GB!229800!$. 786
<button id='iPhone12Pro' type='button' value='iPhone 12 Pro' onclick='iPhone12Pro()'>iPhone 12 Pro</button>!6/128 GB6/256 GB6/512 GB!229900!$. 787
<button id='iPhone11ProMax' type='button' value='iPhone 11 Pro Max' onclick='iPhone11ProMax()'>iPhone 11 Pro Max</button>!4/64 GB4/256 GB4/512 GB!229999!$. 787
<button id='Xiaomi13TPro' type='button' value='Xiaomi 13T Pro' onclick='Xiaomi13TPro()'>Xiaomi 13T Pro</button>!12/512 GB!234999!$. 804
<button id='iPhone13Pro' type='button' value='iPhone 13 Pro' onclick='iPhone13Pro()'>iPhone 13 Pro</button>!6/128 GB6/256 GB6/512 GB6/1024 GB!294000!$. 1006
<button id='iPhone13ProMax' type='button' value='iPhone 13 Pro Max' onclick='iPhone13ProMax()'>iPhone 13 Pro Max</button>!6/128 GB6/256 GB6/512 GB6/1024 GB!318700!$. 1091
<button id='SamsungZFlip4' type='button' value='Samsung Z Flip 4' onclick='SamsungZFlip4()'>Samsung Z Flip 4</button>!8/256 GB8/512 GB!332999!$. 1140
<button id='SamsungZFlip5' type='button' value='Samsung Z Flip 5' onclick='SamsungZFlip5()'>Samsung Z Flip 5</button>!8/512 GB!359999!$. 1232
<button id='iPhone14' type='button' value='iPhone 14' onclick='iPhone14()'>iPhone 14</button>!4/128 GB4/256 GB4/512 GB!385999!$. 1321
<button id='SamsungS23' type='button' value='Samsung S23' onclick='SamsungS23()'>Samsung S23</button>!8/256 GB!399999!$. 1369
<button id='iPhone14Plus' type='button' value='iPhone 14 Plus' onclick='iPhone14Plus()'>iPhone 14 Plus</button>!4/128 GB4/256 GB4/512 GB!420999!$. 1441
<button id='iPhone14Pro' type='button' value='iPhone 14 Pro' onclick='iPhone14Pro()'>iPhone 14 Pro</button>!6/128 GB6/256 GB6/512 GB6/1024 GB!520999!$. 1784
