Mobile!Storage/RAM!PKR!USD
<button id='TecnoSpark9T' type='button' value='Tecno Spark 9T' onclick='TecnoSpark9T()'>Tecno Spark 9T</button>!4/64 GB!39999!$. 136
<button id='Redmi12' type='button' value='Redmi 12' onclick='Redmi12()'>Redmi 12</button>!8/128 GB!41999!$. 143
<button id='OppoA95' type='button' value='Oppo A95' onclick='OppoA95()'>Oppo A95</button>!8/128 GB!41999!$. 143
<button id='InfinixHot20i' type='button' value='Infinix Hot 20i' onclick='InfinixHot20i()'>Infinix Hot 20i</button>!4/64 GB4/128 GB!43999!$. 150
<button id='TecnoSpark8Pro' type='button' value='Tecno Spark 8 Pro' onclick='TecnoSpark8Pro()'>Tecno Spark 8 Pro</button>!4/64 GB!43999!$. 150
<button id='OppoA16e' type='button' value='Oppo A16e' onclick='OppoA16e()'>Oppo A16e</button>!4/64 GB!44299!$. 151
<button id='TecnoPovaNeo2' type='button' value='Tecno Pova Neo 2' onclick='TecnoPovaNeo2()'>Tecno Pova Neo 2</button>!4/64 GB4/128 GB!44999!$. 154
<button id='InfinixHot12' type='button' value='Infinix Hot 12' onclick='InfinixHot12()'>Infinix Hot 12</button>!6/128 GB!44999!$. 154
<button id='RealmeNarzo50' type='button' value='Realme Narzo 50' onclick='RealmeNarzo50()'>Realme Narzo 50</button>!4/64 GB!44999!$. 154
<button id='RealmeC25s' type='button' value='Realme C25s' onclick='RealmeC25s()'>Realme C25s</button>!4/64 GB4/128 GB!44999!$. 154
<button id='TecnoCamon19Neo' type='button' value='Tecno Camon 19 Neo' onclick='TecnoCamon19Neo()'>Tecno Camon 19 Neo</button>!6/128 GB!44999!$. 154
<button id='VivoY17s' type='button' value='Vivo Y17s' onclick='VivoY17s()'>Vivo Y17s</button>!6/128 GB!44999!$. 154
<button id='PocoM4Pro4G' type='button' value='Poco M4 Pro 4G' onclick='PocoM4Pro4G()'>Poco M4 Pro 4G</button>!6/128 GB8/256 GB!44999!$. 154
<button id='RealmeNarzo50A' type='button' value='Realme Narzo 50A' onclick='RealmeNarzo50A()'>Realme Narzo 50A</button>!4/64 GB!45699!$. 156
<button id='OppoA17K' type='button' value='Oppo A17K' onclick='OppoA17K()'>Oppo A17K</button>!3/64 GB!45999!$. 157
<button id='Realme8Pro' type='button' value='Realme 8 Pro' onclick='Realme8Pro()'>Realme 8 Pro</button>!8/128 GB!47999!$. 164
<button id='TecnoCamon19Pro' type='button' value='Tecno Camon 19 Pro' onclick='TecnoCamon19Pro()'>Tecno Camon 19 Pro</button>!8/128 GB!49999!$. 171
<button id='RealmeC25Y' type='button' value='Realme C25Y' onclick='RealmeC25Y()'>Realme C25Y</button>!4/64 GB!49999!$. 171
<button id='OppoA57' type='button' value='Oppo A57' onclick='OppoA57()'>Oppo A57</button>!3/64 GB4/64 GB!49999!$. 171
<button id='OppoF19Pro' type='button' value='Oppo F19 Pro' onclick='OppoF19Pro()'>Oppo F19 Pro</button>!8/128 GB!49999!$. 171
