Mobile!Storage/RAM!PKR!USD
<button id='VivoY15C' type='button' value='Vivo Y15C' onclick='VivoY15C()'>Vivo Y15C</button>!4/64 GB!33999!$. 116
<button id='InfinixSmart6Plus' type='button' value='Infinix Smart 6 Plus' onclick='InfinixSmart6Plus()'>Infinix Smart 6 Plus</button>!3/64 GB!34499!$. 118
<button id='TecnoPovaNeo' type='button' value='Tecno Pova Neo' onclick='TecnoPovaNeo()'>Tecno Pova Neo</button>!4/64 GB!34999!$. 119
<button id='InfinixNote11Pro' type='button' value='Infinix Note 11 Pro' onclick='InfinixNote11Pro()'>Infinix Note 11 Pro</button>!8/128 GB!34999!$. 119
<button id='VivoY02t' type='button' value='Vivo Y02t' onclick='VivoY02t()'>Vivo Y02t</button>!4/64 GB!35999!$. 123
<button id='TecnoCamon18P' type='button' value='Tecno Camon 18P' onclick='TecnoCamon18P()'>Tecno Camon 18P</button>!8/128 GB!35999!$. 123
<button id='InfinixHot30i' type='button' value='Infinix Hot 30i' onclick='InfinixHot30i()'>Infinix Hot 30i</button>!4/128 GB!36299!$. 124
<button id='InfinixHot12Play' type='button' value='Infinix Hot 12 Play' onclick='InfinixHot12Play()'>Infinix Hot 12 Play</button>!4/64 GB4/128 GB!36999!$. 126
<button id='OppoF19' type='button' value='Oppo F19' onclick='OppoF19()'>Oppo F19</button>!6/128 GB!36999!$. 126
<button id='iPhone8' type='button' value='iPhone 8' onclick='iPhone8()'>iPhone 8</button>!2/64 GB2/128 GB2/256 GB!36999!$. 126
<button id='RealmeC33' type='button' value='Realme C33' onclick='RealmeC33()'>Realme C33</button>!4/64 GB!36999!$. 126
<button id='Redmi10C' type='button' value='Redmi 10C' onclick='Redmi10C()'>Redmi 10C</button>!4/64 GB4/128 GB!38499!$. 131
<button id='RealmeNarzo50APrime' type='button' value='Realme Narzo 50A Prime' onclick='RealmeNarzo50APrime()'>Realme Narzo 50A Prime</button>!4/64 GB4/128 GB!38999!$. 133
<button id='RedmiNote11' type='button' value='Redmi Note 11' onclick='RedmiNote11()'>Redmi Note 11</button>!4/64 GB4/128 GB6/128 GB!38999!$. 133
<button id='SamsungA04s' type='button' value='Samsung A04s' onclick='SamsungA04s()'>Samsung A04s</button>!4/64 GB4/128 GB!39999!$. 136
<button id='OppoA16K' type='button' value='Oppo A16K' onclick='OppoA16K()'>Oppo A16K</button>!4/64 GB!39999!$. 136
<button id='Realme8' type='button' value='Realme 8' onclick='Realme8()'>Realme 8</button>!8/128 GB!39999!$. 136
<button id='InfinixHot12i' type='button' value='Infinix Hot 12i' onclick='InfinixHot12i()'>Infinix Hot 12i</button>!4/64 GB!39999!$. 136
<button id='TecnoSpark10Pro' type='button' value='Tecno Spark 10 Pro' onclick='TecnoSpark10Pro()'>Tecno Spark 10 Pro</button>!8/128 GB!39999!$. 136
<button id='InfinixHot30' type='button' value='Infinix Hot 30' onclick='InfinixHot30()'>Infinix Hot 30</button>!8/128 GB!39999!$. 136
