!Mobile!Price!Store
29!<a href='https://priceoye.pk/mobiles/vivo/vivo-y100'>Vivo Y100 (--GB ---GB)</a>!54999.0 (PKR) / 197 (USD)!priceoye.pk
30!<a href='https://www.mega.pk/mobiles_products/24986/Vivo-Y36-8GB-RAM-128GB-Storage-PTA-Approved.html'> Vivo Y36  (8GB RAM 128GB Storage)</a>!56999.0 (PKR) / 205 (USD)!mega.pk
31!<a href='https://www.shophive.com/vivo-y100-8gb-256gb/'> Vivo Y100  (8GB 256GB)</a>!61999.0 (PKR) / 223 (USD)!shophive.pk
32!<a href='https://priceoye.pk/mobiles/vivo/vivo-y73'>Vivo Y73 (--GB ---GB)</a>!63499.0 (PKR) / 228 (USD)!priceoye.pk
33!<a href='https://www.mega.pk/mobiles_products/23188/Vivo-Y21T-4GB-RAM-128GB-Storage-LTE-PTA-Approved.html'> Vivo Y21T  (4GB RAM 128GB Storage)</a>!67999.0 (PKR) / 244 (USD)!mega.pk
34!<a href='https://priceoye.pk/mobiles/vivo/vivo-v29e'>Vivo V29e (--GB ---GB)</a>!71499.0 (PKR) / 257 (USD)!priceoye.pk
35!<a href='https://www.mega.pk/mobiles_products/24411/Vivo-Y73-8GB-RAM-128GB-Storage-PTA-Approved.html'> Vivo Y73  (8GB RAM 128GB Storage)</a>!80999.0 (PKR) / 291 (USD)!mega.pk
36!<a href='https://www.shophive.com/vivo-v29e-8gb-256gb/'> Vivo V29e  (8GB 256GB)</a>!81999.0 (PKR) / 294 (USD)!shophive.pk
37!<a href='https://www.mega.pk/mobiles_products/25001/Vivo-V29e-8GB-RAM-256GB-Storage-5G.html'> Vivo V29e  (8GB RAM 256GB Storage 5G)</a>!88499.0 (PKR) / 318 (USD)!mega.pk
38!<a href='https://priceoye.pk/mobiles/vivo/vivo-v30e'>Vivo V30e (--GB ---GB)</a>!89999.0 (PKR) / 323 (USD)!priceoye.pk
39!<a href='https://www.mega.pk/mobiles_products/24396/Vivo-V27e-8GB-RAM-256GB-Storage-PTA--Approved.html'> Vivo V27e  (8GB RAM 256GB Storage)</a>!91999.0 (PKR) / 330 (USD)!mega.pk
40!<a href='https://www.shophive.com/vivo-v30-5g-12gb-256gb/'> Vivo V30 5G  (12GB 256GB)</a>!126999.0 (PKR) / 456 (USD)!shophive.pk
41!<a href='https://priceoye.pk/mobiles/vivo/vivo-v30-5g'>Vivo V30 5G (--GB ---GB)</a>!129999.0 (PKR) / 467 (USD)!priceoye.pk
42!<a href='https://www.mega.pk/mobiles_products/25029/Vivo-V30-12GB-RAM-256GB-Storage-5G-PTA-Approved.html'> Vivo V30  (12GB RAM 256GB Storage 5G)</a>!135999.0 (PKR) / 489 (USD)!mega.pk
43!<a href='https://www.mega.pk/mobiles_products/24670/Vivo-V29-5G.html'>Vivo V29 5G</a>!159999.0 (PKR) / 575 (USD)!mega.pk
